"DateTime","TagName","Value","Type"
"26/11/2025 13:30:00","FIn1P_T2_ConsoMasse_PO_Tot","83693,75","SHIFT_MAX"
"26/11/2025 13:30:00","FIn2P_T1_ConsoMasse_ISO_Tot","52138,015625","SHIFT_MAX"
"26/11/2025 13:30:00","FIn2P_T1_ConsoMasse_PO_Tot","78287,7109375","SHIFT_MAX"
"26/11/2025 13:30:00","FIn2P_T2_ConsoMasse_ISO_Tot","51903,859375","SHIFT_MAX"
"26/11/2025 13:30:00","FIn2P_T2_ConsoMasse_PO_Tot","78231,7890625","SHIFT_MAX"
"26/11/2025 13:30:00","JInjP_T1_ConsoMasse_ISO_Tot","62836,3515625","SHIFT_MAX"
"26/11/2025 13:30:00","JInjP_T1_ConsoMasse_PO_Tot","91650,8046875","SHIFT_MAX"
"26/11/2025 13:30:00","JInjP_T2_ConsoMasse_ISO_Tot","62642,71875","SHIFT_MAX"
"26/11/2025 13:30:00","JInjP_T2_ConsoMasse_PO_Tot","92663,4921875","SHIFT_MAX"
"26/11/2025 13:30:00","LDIn1P_T1_ConsoMasse_ISO_Tot","66650,53125","SHIFT_MAX"
"26/11/2025 13:30:00","LDIn1P_T1_ConsoMasse_PO_Tot","97016,515625","SHIFT_MAX"
"26/11/2025 13:30:00","LDIn1P_T2_ConsoMasse_ISO_Tot","66556,1328125","SHIFT_MAX"
"26/11/2025 13:30:00","LDIn1P_T2_ConsoMasse_PO_Tot","98023,8671875","SHIFT_MAX"
"26/11/2025 13:30:00","LDIn2P_T1_ConsoMasse_ISO_Tot","67982,1015625","SHIFT_MAX"
"26/11/2025 13:30:00","LDIn2P_T1_ConsoMasse_PO_Tot","99804,5234375","SHIFT_MAX"
"26/11/2025 13:30:00","LDIn2P_T2_ConsoMasse_ISO_Tot","67845,9921875","SHIFT_MAX"
"26/11/2025 13:30:00","LDIn2P_T2_ConsoMasse_PO_Tot","99170,4765625","SHIFT_MAX"
"26/11/2025 15:07:41","CIn1P_T1_ConsoMasse_ISO_Tot","14695,30078125","LOT_SNAP"
"26/11/2025 15:07:41","CIn1P_T1_ConsoMasse_PO_Tot","21660,873046875","LOT_SNAP"
"26/11/2025 15:07:41","CIn1P_T2_ConsoMasse_ISO_Tot","14701,6650390625","LOT_SNAP"
"26/11/2025 15:07:41","CIn1P_T2_ConsoMasse_PO_Tot","21640,8515625","LOT_SNAP"
"26/11/2025 15:07:41","LDIn1P_T1_ConsoMasse_ISO_Tot","14498,3642578125","LOT_SNAP"
"26/11/2025 15:07:41","LDIn1P_T1_ConsoMasse_PO_Tot","21103,8203125","LOT_SNAP"
"26/11/2025 15:07:41","LDIn1P_T2_ConsoMasse_ISO_Tot","14492,203125","LOT_SNAP"
"26/11/2025 15:07:41","LDIn1P_T2_ConsoMasse_PO_Tot","21344,1171875","LOT_SNAP"
"26/11/2025 15:07:41","LDIn2P_T1_ConsoMasse_ISO_Tot","14526,498046875","LOT_SNAP"
"26/11/2025 15:07:41","LDIn2P_T1_ConsoMasse_PO_Tot","21326,3515625","LOT_SNAP"
"26/11/2025 15:07:41","LDIn2P_T2_ConsoMasse_ISO_Tot","14497,4130859375","LOT_SNAP"
"26/11/2025 15:07:41","LDIn2P_T2_ConsoMasse_PO_Tot","21190,869140625","LOT_SNAP"
